old_id,old_display_name,new_display_name,old_role,new_role,new_anime_type,new_visible_affinity_1,new_visible_affinity_2,new_hidden_affinity,id_preserved,notes
kai,Kai,Kai Moriyama,protag,protag,SHONEN,sports,martial,cooking,yes,Display-name change; do not rename save keys or historical billing.
hikari,Hikari,Hikari Amano,protag,protag,SHOJO,magical,romance,military,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
rei,Rei,Rei Han,protag,protag,SHONEN,mecha,space,military,yes,Display-name change; do not rename save keys or historical billing.
sora,Sora,Sora Vale,protag,protag,SHONEN,isekai,fantasy,military,yes,Display-name change; do not rename save keys or historical billing.
yui,Yui,Yui Tanaka,protag,protag,SHOJO,slice,cooking,survival,yes,Display-name change; do not rename save keys or historical billing.
kage,Kage,Kage Mercer,protag,protag,SHONEN,horror,cyber,mystery,yes,Display-name change; do not rename save keys or historical billing.
airi,Airi,Airi Watanabe,protag,protag,SHONEN,idol,romance,horror,yes,Display-name change; do not rename save keys or historical billing.
shiro,Shiro,Shiro Desai,protag,protag,SHOJO,mystery,slice,pirate,yes,Display-name change; do not rename save keys or historical billing.
mako,Mako,Mako Te Rangi,protag,protag,SHONEN,pirate,fantasy,mystery,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
rin,Rin,Rin Adebayo,protag,protag,SHONEN,sports,slice,pirate,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
niko,Niko,Niko Varga,protag,protag,SHONEN,mecha,cyber,magical,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
aya,Aya,Aya Hanamori,protag,villain,SHOJO,romance,mystery,martial,yes,"Role: Lead → Villain; stable ID retained, including its legacy prefix. Display-name change; do not rename save keys or historical billing."
taro,Taro,Taro Fujita,protag,secondary,SHOJO,cooking,fantasy,space,yes,"Role: Lead → Sidekick; stable ID retained, including its legacy prefix. Display-name change; do not rename save keys or historical billing."
mio,Mio,Mio Laurent,protag,protag,SHOJO,idol,romance,pirate,yes,Display-name change; do not rename save keys or historical billing.
kenta,Kenta,Kenta Okafor,protag,protag,SHONEN,martial,comedy,mythology,yes,Display-name change; do not rename save keys or historical billing.
saki,Saki,Saki Nguyen,protag,protag,SHOJO,slice,mystery,mythology,yes,Display-name change; do not rename save keys or historical billing.
ryu,Ryu,Ryu Long,protag,protag,SHONEN,fantasy,martial,romance,yes,Display-name change; do not rename save keys or historical billing.
nana,Nana,Nana Ortiz,protag,protag,SHOJO,cyber,idol,comedy,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
jin,Jin,Jin Park,protag,protag,SHONEN,mecha,survival,slice,yes,Display-name change; do not rename save keys or historical billing.
emi,Emi,Emi Kowalska,protag,protag,SHOJO,magical,cooking,military,yes,Display-name change; do not rename save keys or historical billing.
goro,Goro,Goro Nishida,protag,protag,SHONEN,sports,martial,magical,yes,Display-name change; do not rename save keys or historical billing.
hana,Hana,Hana Al-Salim,protag,protag,SHOJO,mythology,romance,cyber,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
daichi,Daichi,Dawit Bekele,protag,protag,SHONEN,survival,military,supernatural,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
yuki,Yuki,Yuki Lind,protag,protag,SHONEN,nordic,survival,horror,yes,Display-name change; do not rename save keys or historical billing. V2 visual concept replaces the old archetype/portrait brief; no new art exists yet.
mira,Mira,Mira Solano,protag,protag,SHOJO,space,idol,mythology,yes,Display-name change; do not rename save keys or historical billing.
kaito,Kaito,Kaito Marlow,protag,protag,SHONEN,pirate,isekai,romance,yes,Display-name change; do not rename save keys or historical billing.
riko,Riko,Riko Chen,protag,protag,SHONEN,mystery,mecha,idol,yes,Display-name change; do not rename save keys or historical billing.
akira,Akira,Akira Sato,protag,protag,SHONEN,cyber,mystery,nordic,yes,Display-name change; do not rename save keys or historical billing.
momo,Momo,Momo Alvarez,protag,protag,SHONEN,idol,comedy,survival,yes,Display-name change; do not rename save keys or historical billing.
takumi,Takumi,Takumi Ito,protag,protag,SHOJO,romance,mecha,mystery,yes,Display-name change; do not rename save keys or historical billing.
shiori,Shiori,Shiori Abe,protag,protag,SHOJO,horror,fantasy,comedy,yes,Display-name change; do not rename save keys or historical billing.
