id,name,cost,q,f,desc,syn,synQ,anti,antiQ,cast,castQ,unlock,franchiseOnly,availability_stage,franchise_relevance
v3_swornoath,The Sworn Oath,9000,3,0.02,A promise protects someone today and creates a debt for tomorrow.,"[""samurai"", ""military""]",3,"[""comedy""]",-2,protag,2,"{""kind"": ""genre"", ""genre"": ""samurai""}",,early,Works as an original; can seed a later continuation
v3_crossroadsduel,Duel at the Crossing,17000,3,0.05,Two blades meet; the companion decides what winning should cost.,"[""samurai"", ""martial""]",3,"[""slice"", ""cooking""]",-2,secondary,2,"{""kind"": ""shows"", ""n"": 2}",,mid,Works as an original; can seed a later continuation
v3_clanhearing,The Clan Hearing,19000,4,0.02,A public accusation turns family duty into a question of evidence.,"[""samurai"", ""mystery"", ""romance""]",3,"[""sports""]",-2,villain,2,"{""kind"": ""rd"", ""cost"": 16}",,mid,Works as an original; can seed a later continuation
v3_brokenstandard,The Broken Standard,29000,5,0.05,The banner falls; the leader chooses people over inherited orders.,"[""samurai"", ""military"", ""nordic""]",3,"[""idol""]",-2,protag,2,"{""kind"": ""hits"", ""n"": 2}",,late,Works as an original; can seed a later continuation
v3_deadletter,The Dead Letter,9000,3,0.02,A small companion brings a message its intended recipient never received.,"[""shinobi"", ""mystery""]",3,"[""idol""]",-2,pet,2,"{""kind"": ""genre"", ""genre"": ""shinobi""}",,early,Works as an original; can seed a later continuation
v3_silententry,The Silent Entry,17000,3,0.04,"A route, a timing window and a partner who must be trusted.","[""shinobi"", ""cyber""]",3,"[""sports"", ""comedy""]",-2,secondary,2,"{""kind"": ""shows"", ""n"": 2}",,mid,Works as an original; can seed a later continuation
v3_doubleagent,The Double Agent,21000,4,0.04,The enemy offers reliable information for an unacceptable price.,"[""shinobi"", ""mystery"", ""military""]",3,"[""slice""]",-2,villain,2,"{""kind"": ""rd"", ""cost"": 18}",,mid,Works as an original; can seed a later continuation
v3_burnednetwork,The Burned Network,30000,5,0.04,Every safe house is exposed; saving the network means losing its secrets.,"[""shinobi"", ""survival"", ""cyber""]",3,"[""cooking""]",-2,protag,2,"{""kind"": ""hits"", ""n"": 2}",,late,Works as an original; can seed a later continuation
v3_retainersday,A Retainer’s Day Off,10000,3,0.04,The person beneath the uniform tries to have one ordinary afternoon.,"[""samurai"", ""slice"", ""comedy""]",3,"[""horror""]",-2,secondary,2,"{""kind"": ""genre"", ""genre"": ""samurai""}",,early,Works as an original; can seed a later continuation
v3_roofcourier,The Rooftop Courier,12000,2,0.06,The smallest team member carries the only copy across a closing city.,"[""shinobi"", ""pirate"", ""survival""]",3,"[""romance""]",-2,pet,2,"{""kind"": ""genre"", ""genre"": ""shinobi""}",,early,Works as an original; can seed a later continuation
v3_duelwithoutblades,A Duel Without Blades,16000,4,0.03,An enemy must answer a question that strength cannot settle.,"[""samurai"", ""romance"", ""mystery""]",3,"[""mecha""]",-2,villain,2,"{""kind"": ""shows"", ""n"": 3}",,mid,Works as an original; can seed a later continuation
