id,name,role,existing_archetype,epithet,note_reason
kai,Kai Moriyama,protag,Underdog team captain,The Unbroken Relay,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
rei,Rei Han,protag,Test pilot on probation,Second-Chance Ignition,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
sora,Sora Vale,protag,Reluctant second-world champion,The Unchosen Promise,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
kage,Kage Mercer,protag,Missing-person investigator,Keeper of Absences,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
kenta,Kenta Okafor,protag,Joking dojo challenger,The Laughing Guard,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
ryu,Ryu Long,protag,Dragon-school exile,The Exiled Ember,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
jin,Jin Park,protag,Rescue vehicle ace,Last-Minute Rescue,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
goro,Goro Nishida,protag,Veteran sumo hopeful,The Patient Mountain,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
daichi,Dawit Bekele,protag,Civil engineer in a disaster zone,Bridge Through Ruin,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
kaito,Kaito Marlow,protag,Debt-ridden sky privateer,The Borrowed Horizon,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
akira,Akira Sato,protag,Neon district courier,Neon Fleetfoot,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
kuro,Kuro Reyes,protag,Corporate fugitive,The Unbought Name,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
rin,Rin Adebayo,protag,Relay runner rebuilding a team,The Comeback Spark,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
niko,Niko Varga,protag,Improvising robot inventor,Hands of Tomorrow,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
mako,Mako Te Rangi,protag,Reef defender,The Reef's Reply,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
zuri,Zuri Kamau,protag,Community workshop founder,The Open Forge,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
sakura,Sakura Fujimoto,protag,Courteous tournament swordswoman,Grace Before Steel,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
suzume,Suzume Inari,protag,Shrine apprentice with a temper,The Restless Shrine,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
yuki,Yuki Lind,protag,Winter search leader,Lantern in Snow,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
riko,Riko Chen,protag,Clockwork mediator,The Turning Key,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
momo,Momo Alvarez,protag,Explosive variety-show rookie,The Unscripted Spark,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
n_ryoko,Astrid Voss,protag,Salvage pilot,Treasure After Impact,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
n_mikoto,Mikoto Arata,protag,Apprentice with one reliable spell,The One True Spell,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
airi,Airi Watanabe,protag,Live-stream idol captain,The Shared Spotlight,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
hikari,Hikari Amano,protag,Wish-broker learning boundaries,The Wish Returned,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
shiro,Shiro Desai,protag,Quiet community archivist,Keeper of Footsteps,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
takumi,Takumi Ito,protag,Ghostwriter of unsent letters,Letters Never Sent,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
haru,Haru Mensah,protag,Sprinter afraid of leaving home,The Homeward Sprint,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
kota,Kota Soren,protag,Clan mediator,The Unbroken Table,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
renji,Renji Kuroda,protag,Witness who broke his silence,The Witness Speaks,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
jun,Jun Seo,protag,Trickster caught by his own promise,The Binding Joke,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
sota,Sota Rahman,protag,Programmer repairing a shared past,The Rewritten Thread,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
itsuki,Itsuki Mori,protag,Novelist whose characters answer back,Ink That Answers,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
leo,Leo Carvalho,protag,Street skater seeking a second chance,The Second Landing,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
n_saku,Saku Diallo,protag,Touring singer between worlds,Song Between Shores,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
n_chisato,Chisato Kimura,protag,Football prodigy facing a transfer,The Unsettled Goal,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
yui,Yui Tanaka,protag,Neighbourhood café organiser,The Welcome Cup,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
mio,Mio Laurent,protag,Dancer negotiating her own image,Her Own Spotlight,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
saki,Saki Nguyen,protag,Student newspaper editor,The Unburied Question,Specific metaphor for the existing archetype and personal conflict; no hidden-affinity label disclosed.
