posterSlot,title,arcId,hiddenArc,nativeGenre1,nativeGenre2,comboPartnerArcId,comboPartnerArc
1,"Crystal Quest: Four Hearts, One Tomorrow",ip_arc_001,Crystal Pilgrimage,fantasy,mythology,lore,Worldbuilding Dive
2,Lifestream Rebellion: A Brighter Tomorrow,ip_arc_002,Broken World Reunion,cyber,fantasy,launch,Launch Arc
3,Relic of the Wild: Kingdom at Dawn,ip_arc_003,Relic Dungeon Cycle,fantasy,mythology,lore,Worldbuilding Dive
4,The Flamebound Heir: A Kingdom Endures,ip_arc_004,Exiled Heir Campaign,fantasy,military,war,War Arc
5,Three Banners Academy,ip_arc_005,Academy Route Split,fantasy,military,war,War Arc
6,The Black Ledger: A Deadly Mind Game,ip_arc_006,Mindgame Pursuit,mystery,supernatural,twist,Plot Twist
7,Solar Fist: A Brighter World,ip_arc_007,Ascension Battle,martial,supernatural,origin,Origin Story
8,Star Dragon Trail: Beyond Tomorrow,ip_arc_008,Cosmic Dragon Hunt,martial,space,origin,Origin Story
9,Brotherhood of Brass: Alchemical Dawn,ip_arc_009,Equivalent Exchange,magical,military,war,War Arc
10,Infernal Requiem: A Brighter Hell,ip_arc_010,Demon Contract Hunt,supernatural,horror,cliffhanger,Cliffhanger
11,The Nameless Smile,ip_arc_011,Psychological Pursuit,mystery,horror,twist,Plot Twist
12,Covenant of Midnight,ip_arc_012,Ritual Grail War,magical,supernatural,cliffhanger,Cliffhanger
13,Battle School Orion,ip_arc_013,Battle School Command,space,military,war,War Arc
14,Rising Eleven: From Streets to Stardom,ip_arc_014,Career Breakthrough,sports,slice,tournament,Tournament Arc
15,Iron Howlers: Stormfront Mechs,ip_arc_015,Mercenary Mech Contract,mecha,military,war,War Arc
16,Ash Throne Legion,ip_arc_016,Crusade of Attrition,space,mecha,launch,Launch Arc
17,Starfall Rebellion,ip_arc_017,Rebel Rescue,space,mythology,launch,Launch Arc
18,Moonlit Maze,ip_arc_018,Labyrinth Bargain,isekai,magical,lore,Worldbuilding Dive
19,Wildspark Quest,ip_arc_019,Creature League,magical,sports,tournament,Tournament Arc
20,Cyber Crests,ip_arc_020,Digital Evolution,cyber,isekai,launch,Launch Arc
21,Soul Tide,ip_arc_021,Spirit Realm Rescue,supernatural,martial,origin,Origin Story
22,Hidden Storm,ip_arc_022,Clan Examination,shinobi,martial,origin,Origin Story
23,Grand Horizon Voyage,ip_arc_023,Island Liberation,pirate,martial,origin,Origin Story
24,Tidebreak Champions,ip_arc_024,Sphere League Tournament,sports,fantasy,tournament,Tournament Arc
25,War of Three Banners,ip_arc_025,Three Kingdom Stratagem,military,martial,war,War Arc
26,A Pocketful of Tomorrows,ip_arc_026,Second Chance Timeline,romance,supernatural,confession,Confession
27,Ashfall Dominion,ip_arc_027,Dragon Siege,survival,horror,cliffhanger,Cliffhanger
28,Northern Oath,ip_arc_028,Saga Voyage,nordic,military,war,War Arc
29,Snowbound Hunger,ip_arc_029,Winter Invitation,nordic,horror,cliffhanger,Cliffhanger
30,Radio Rebels,ip_arc_030,Pirate Broadcast,idol,comedy,live,Live Performance
