"id","title","sourceType","description","genres","tones","audience","animeType","rarity","fanbase","prestige","merchPotential","adaptationDifficulty","rightsBaseValue","royaltyRate","characters","adaptationArcs","specialArcUnlock","posterSlot","posterAsset","posterPalette","specialRules"
"ip_001","Ashen Bell Requiem","manga","A bell-forged swordswoman hunts the spirits that stole her name.","martial|supernatural","tragic|kinetic","teens","shonen","recognised","64","58","60","57","425000","0.12","protagonist:Iona Vale|companion:Brother Cinder|antagonist:The Pale Cantor|mascot:Chime","The First Toll|Siege of Glass Cathedral|The Nameless Duel","","1","/auction-ip/poster_001.webp","#200f25|#d24b54|#f1c66b","Sword choreography demands strong animation."
"ip_002","Clans of the Hollow Moon","light_novel","Exiled heirs weaponise forbidden moon-script in a war between hidden clans.","martial|shinobi","secretive|rivalry","teens","shonen","premium","79","76","72","70","1105000","0.09999999999999999","protagonist:Ren Kisar|companion:Mara Venn|antagonist:Lord Eclipse|mascot:Inkfox","The Broken Seal|Five-Clan Trials|Moonfall War","","2","/auction-ip/poster_002.webp","#071a24|#36a7a2|#d9d0a7","Dense clan continuity raises adaptation risk."
"ip_003","The Brasswake Voyage","jrpg","A runaway cartographer races sky-pirates toward a city inside a storm.","fantasy|comedy","buoyant|found-family","family","shonen","recognised","71","55","83","52","470000","0.12","protagonist:Milo Quill|companion:Captain Sena|antagonist:Admiral Gilt|mascot:Pip-Pip","The Stolen Map|Cloud Regatta|Eye of the Storm","","3","/auction-ip/poster_003.webp","#0b3150|#e07032|#f6e3a5","Merch rights are especially valuable."
"ip_004","Wolf at the Iron Gate","visual_novel","A disgraced shield-maiden survives a mercenary kingdom built on betrayal.","historical|martial","grim|political","adults","shonen","premium","82","69","38","84","1005000","0.09999999999999999","protagonist:Yrsa Fen|companion:Tomas Reed|antagonist:King Vargan","Red Snow|The Black Banner|The Iron Gate","","4","/auction-ip/poster_004.webp","#17191d|#85342f|#c4b8a0","Critic favourite; limited family appeal."
"ip_005","Titan Parliament","webcomic","Teen pilots are drafted into a constitutional war fought with walking citadels.","mecha|political","operatic|cerebral","adults","shonen","legendary","93","91","76","94","3065000","0.07999999999999999","protagonist:Asha Kade|companion:Prince Ro|antagonist:Chancellor Vey|mascot:Unit M-8","The First Vote|Orbital Coup|The Last Constitution","","5","/auction-ip/poster_005.webp","#10182e|#ad3948|#e3c670","Creator approval can delay release.|Legendary expectations."
"ip_006","Pocket Wilds: Amber","game","A rural courier befriends tiny myth-beasts and uncovers a vanishing season.","fantasy|fantasy","warm|mysterious","kids","shonen","premium","88","62","99","61","1160000","0.09999999999999999","protagonist:Tavi Moss|companion:Juniper Vale|antagonist:Director Sable|mascot:Nib","The First Bond|Amber League|The Vanishing Spring","","6","/auction-ip/poster_006.webp","#244c3d|#e3a62f|#f4e8c6","Exceptional merchandise potential."
"ip_007","Redline Ronin","manga","An obsolete courier android enters illegal races to buy a human memory.","sports|cyberpunk","fast|melancholic","teens","shonen","emerging","52","42","58","48","175000","0.13999999999999999","protagonist:R-09 Kai|companion:Mika Torque|antagonist:Saint Velocity","Junkyard Start|Neon Circuit|Memory Finish","","7","/auction-ip/poster_007.webp","#130d23|#ef315f|#28d7df","Sleeper opportunity in crowded markets."
"ip_008","Crown of One Hundred Duels","light_novel","A pacifist prince must win a ritual war without taking a life.","martial|historical","honourable|tense","teens","shonen","recognised","67","63","44","66","430000","0.12","protagonist:Prince Eiren|companion:Mae the Spear|antagonist:General Koro","First Bloodless Duel|Hall of Hundred Blades|The Empty Throne","","8","/auction-ip/poster_008.webp","#251714|#9e3d28|#e8c578","Violence without deaths is a binding creator rule."
"ip_009","Ward 13 After Midnight","jrpg","Hospital interns discover each floor is haunted by a different unfinished death.","horror|supernatural","clinical|dread","adults","shonen","cult","35","54","23","65","85000","0.16","protagonist:Dr Emi Sorn|companion:Nurse Hal|antagonist:The Night Matron|mascot:Pager","First Night Shift|The Sealed Ward|Code Black","bottle_episode","9","/auction-ip/poster_009.webp","#101719|#7e182c|#dce5df","Low fanbase, strong critical ceiling."
"ip_010","Moth House Testament","visual_novel","Estranged sisters inherit a mansion that edits their childhood memories.","horror|mystery","gothic|psychological","adults","shojo","premium","68","84","31","86","975000","0.09999999999999999","protagonist:Nami Orrell|companion:Yua Orrell|antagonist:Aunt Silken|mascot:Morrow","The Inheritance|The Paper Rooms|The True Testament","","10","/auction-ip/poster_010.webp","#160e1c|#6d416c|#d8c5a5","Non-linear structure is hard to adapt."
"ip_011","Static Children","webcomic","Students hear tomorrow's emergency broadcasts through broken cassette players.","supernatural|mystery","analog|paranoid","teens","shonen","emerging","43","61","30","68","170000","0.13999999999999999","protagonist:Leo An|companion:Cass Mori|antagonist:Voice Zero","First Broadcast|Dead Air Week|Tomorrow, Live","","11","/auction-ip/poster_011.webp","#131a25|#cf5d49|#dfd2b1","Unreliable narration increases volatility."
"ip_012","The Orchard Below","game","A village sends one child each winter to bargain with the roots beneath it.","horror|fantasy","folk|somber","adults","shojo","recognised","49","75","35","73","395000","0.12","protagonist:Edda Bloom|companion:Fen Ash|antagonist:The Root King|mascot:Pome","The Winter Gift|Root Market|Spring Debt","underworld_journey","12","/auction-ip/poster_012.webp","#192318|#6c8a43|#d0b475","Folk-horror tone must be protected."
"ip_013","Letters to the Last Platform","manga","Two commuters fall in love through notes left one day apart in time.","romance|space","tender|wistful","teens","shojo","recognised","62","67","41","53","420000","0.12","protagonist:Aya Hoshi|companion:Noel Grey|antagonist:The Conductor","The Missed Train|Summer Letters|The Last Platform","","13","/auction-ip/poster_013.webp","#26324a|#d76f88|#f3d7c9","Romance ending may not be altered."
"ip_014","Roseguard Academy","light_novel","A scholarship duellist navigates courtship, class and ceremonial sword clubs.","romance|slice","sparkling|competitive","teens","shojo","premium","77","59","68","49","995000","0.09999999999999999","protagonist:Lina Rose|companion:Prince Adel|antagonist:Sabine Noir|mascot:Petit","First Term|Rose Tournament|Graduation Waltz","graduation","14","/auction-ip/poster_014.webp","#341a3c|#d0558a|#f4d9b1","High costume and music expectations."
"ip_015","Second Lead Syndrome","jrpg","A background actor realises she is trapped in a romance comic's discarded timeline.","romance|comedy","meta|bittersweet","teens","shojo","cult","38","57","34","55","90000","0.16","protagonist:Mina Page|companion:Theo Ink|antagonist:Heroine Prime","Break the Panel|The Second Route|Rewrite the Kiss","","15","/auction-ip/poster_015.webp","#fff0f4|#d35a8b|#3e2947","Small fanbase but unusually loyal."
"ip_016","Winter Camellia Contract","visual_novel","A divorce lawyer and a shrine heir fake an engagement to stop a supernatural merger.","romance|supernatural","mature|wry","adults","shojo","recognised","55","72","29","58","395000","0.12","protagonist:Rei Kama|companion:Shun Mori|antagonist:Lady Frost","False Vows|Spirit Mediation|Camellia Hearing","body_swap","16","/auction-ip/poster_016.webp","#172435|#b4385d|#e8ddd2","Dialogue quality drives reception."
"ip_017","Prism Oath Jubilee","webcomic","Retired magical heroines reunite when their old mascot is accused of treason.","magical|comedy","colourful|mature","family","shojo","premium","81","73","96","70","1160000","0.09999999999999999","protagonist:Mara Prism|companion:Yuki Gleam|antagonist:Regent Null|mascot:Bibi","Reunion Live|Broken Colours|Jubilee Oath","","17","/auction-ip/poster_017.webp","#28184b|#e5509a|#ffe678","Merch monster with cross-generational fans."
"ip_018","Satellite Hearts","game","An orbital idol unit broadcasts concerts to colonies drifting out of radio range.","idol|space","hopeful|lonely","teens","shojo","recognised","74","62","92","56","505000","0.12","protagonist:Ciel Amani|companion:Unit Sol|antagonist:Manager Umbra|mascot:Bit","Debut Signal|Silent Colony|Last Encore","","18","/auction-ip/poster_018.webp","#101a47|#6be3e5|#ff6aa8","Soundtrack performance strongly affects merch."
"ip_019","Velvet Hex Club","manga","Five fashion students sew protective spells into stage costumes.","magical|slice","stylish|friendly","teens","shojo","emerging","46","49","88","45","195000","0.13999999999999999","protagonist:Zara Vell|companion:Nico Hem|antagonist:Dean Ravel|mascot:Thimble","First Stitch|Runway Curse|Velvet Finale","","19","/auction-ip/poster_019.webp","#32104a|#bb3ed0|#f5b85b","Collector campaign performs well."
"ip_020","Idol // Error","light_novel","A virtual singer becomes self-aware during a televised elimination franchise.","idol|cyberpunk","glossy|unsettling","adults","shojo","premium","84","78","91","88","1195000","0.09999999999999999","protagonist:EVA-7|companion:Momo Chen|antagonist:Producer Root|mascot:Loop","First Render|Elimination Week|Open Source Heart","corruption","20","/auction-ip/poster_020.webp","#071b26|#f03e93|#51f1dc","Expensive, volatile and potentially enormous."
"ip_021","Eleven Seconds Left","jrpg","A bench player can rewind only the final eleven seconds of a basketball game.","sports|supernatural","urgent|earnest","teens","shonen","recognised","69","48","53","51","410000","0.12","protagonist:Dai Mercer|companion:Ko Lin|antagonist:Coach Hara","The Bench Year|Regional Clock|Eleven Seconds","","21","/auction-ip/poster_021.webp","#0b2340|#e75f2d|#f1e4cf","Sports staging rewards pacing."
"ip_022","Queen's Gambit Eleven","visual_novel","A tactical prodigy rebuilds a bankrupt women's football club.","sports|mystery","grounded|strategic","family","shojo","premium","73","71","45","62","975000","0.09999999999999999","protagonist:Imani Cole|companion:Sara Beck|antagonist:Chairman Vale","Relegation Line|Winter Transfer|Promotion Day","","22","/auction-ip/poster_022.webp","#102b24|#d8aa30|#e9ece1","Critic favourite with moderate merch."
