id,name,archetype,epithet,img,personality,role,type,visibleAff1,visibleAff2,hiddenAff,gender,species,ageBand,culturalBasis
v4_lead_shonen_001,Matteo Valente,Gearline Second-World Pathfinder,Gearline Second World,cast/v4/v4_lead_shonen_001.webp,"Matteo keeps a tiny notebook of useful mistakes; under pressure, Matteo treats impossible rules as something to learn rather than fear.",protag,shonen,mecha,isekai,samurai,male,human,20–29,Mediterranean mecha / isekai character design
v4_lead_shonen_002,Nadira Permana,Servo Heartline Ace,Servo Heartline,cast/v4/v4_lead_shonen_002.webp,"Nadira repairs first and explains later, but Nadira also always notices who has gone quiet.",protag,shonen,mecha,romance,supernatural,female,human,20–29,Indonesian mecha / romance character design
v4_lead_shonen_003,Yash Mehta,Prototype Questroad Runner,Prototype Questroad,cast/v4/v4_lead_shonen_003.webp,"Yash saves the best snack for whoever worked latest; alongside that, Yash treats strange rules as invitations to learn.",protag,shonen,mecha,fantasy,mythology,male,human,17–19,Indian mecha / fantasy character design
v4_lead_shonen_004,Asha Bekele,Machine-Bay Freewind Seeker,Machine Bay Freewind,cast/v4/v4_lead_shonen_004.webp,Asha trusts machines only after testing them under pressure; friends also know Asha writes reminders on the backs of receipts.,protag,shonen,mecha,pirate,nordic,female,human,20–29,East African mecha / pirate character design
v4_lead_shonen_005,Nhi Pham,Stranger-Road Stage-Light Trailblazer,Stranger Road Stage Light,cast/v4/v4_lead_shonen_005.webp,"Nhi takes the long route when someone needs company. In a crisis, Nhi turns nerves into rhythm once the spotlight lands.",protag,shonen,isekai,idol,mythology,female,human,17–19,Vietnamese isekai / idol character design
v4_lead_shonen_006,Nima Farhadi,Portal Lockbox Front-Runner,Portal Lockbox,cast/v4/v4_lead_shonen_006.webp,"Nima looks for the local custom before reaching for assumptions, while outside the big moments Nima keeps one lucky coin and refuses to explain it.",protag,shonen,isekai,mystery,martial,nonbinary,human,17–19,Persian isekai / mystery character design
v4_lead_shonen_007,Naoki Okuno,Crossing Deadpan Pathfinder,Crossing Deadpan,cast/v4/v4_lead_shonen_007.webp,"Naoki returns borrowed things cleaner than they arrived; when it matters, Naoki knows when a joke will help and when silence will.",protag,shonen,isekai,comedy,nordic,male,human,20–29,Japanese isekai / comedy character design
v4_lead_shonen_008,Amani Mwangi,Wayfarer Otherworld Ace,Wayfarer Otherworld,cast/v4/v4_lead_shonen_008.webp,"Amani asks practical questions when the world stops making sense. Away from the pressure, Amani gets quieter as the stakes get higher.",protag,shonen,isekai,supernatural,space,female,human,20–29,East African isekai / supernatural character design
v4_lead_shonen_009,Jiho Seo,Corner-Shop Signal Runner,Corner Shop Signal,cast/v4/v4_lead_shonen_009.webp,"Jiho keeps a spare pen for people who never do; under pressure, Jiho treats information as useful only when somebody can act on it.",protag,shonen,slice,cyber,mythology,male,human,17–19,Korean slice of life / cyber character design
v4_lead_shonen_010,Elif Arslan,Quiet-Day Stage-Light Seeker,Quiet Day Stage Light,cast/v4/v4_lead_shonen_010.webp,"Elif makes space for small comforts when tension rises, but Elif also remembers tiny kindnesses for years.",protag,shonen,slice,idol,martial,female,human,17–19,Turkish slice of life / idol character design
v4_lead_shonen_011,Katerina Drakos,Everyday Kitchen Trailblazer,Everyday Kitchen,cast/v4/v4_lead_shonen_011.webp,"Katerina carries one completely impractical good-luck charm; alongside that, Katerina believes care is easier to trust when it arrives warm.",protag,shonen,slice,cooking,military,female,human,17–19,Greek slice of life / cooking character design
